Soort zuivelproduct,Vervaardigd product,Jaar,Maand,Hoeveelheid  product
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,Februari 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,Maart 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,April 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,Mei 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,Juni 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,Juli 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,Augustus 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,September 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,Oktober 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,November 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2022,December 2022,
Boter (in kg),"Andere melkvetten , Boterbereidingen , Mengsels van dierlijke of plantaardige vetten en van melkvetten",2023,Januari 2023,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,Januari 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,Februari 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,Maart 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,April 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,Mei 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,Juni 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,Juli 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,Augustus 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,September 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,Oktober 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,November 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2022,December 2022,
Melkpoeder (in kg),Room (vet : 42% en meer),2023,Januari 2023,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,Januari 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,Februari 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,Maart 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,April 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,Mei 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,Juni 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,Juli 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,Augustus 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,September 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,Oktober 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,November 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,December 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2023,Januari 2023,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Januari 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Februari 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Maart 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,April 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Mei 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Juni 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Juli 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Augustus 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,September 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Oktober 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,November 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,December 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2023,Januari 2023,
